term,slug,canonical,reading,meaning,senses,register,keigo,freq,jlpt,family,candidate_prereqs,fold_into_parent,confidence,review_reason,src_risk,src_volumes,src_glosses
kai mo naku,kai-mo-naku,〜甲斐もなく,かいもなく,despite (one's efforts); to no avail,,written-modern,none,uncommon,N1,connective,kai-ga-aru,,high,,gapfill,ext,despite; even though ~
kara aru,kara-aru,〜からある,からある,as much/many as ~; no less than ~ (emphasizing a large amount; also 〜からする／〜からの),,written-modern,none,uncommon,N1,particle,,,high,,gapfill,ext,at least; as much as; as many as ~
katsute,katsute,かつて,かつて,once; formerly; (with negative) never before,,written-modern|literary,none,common,N1,adverbial,,,high,,gapfill,ext,once; before; formerly; ever; former; ex-
kiri ga nai,kiri-ga-nai,〜切りがない,きりがない,there's no end to ~; endless,,casual-spoken|written-modern,none,uncommon,N1,modality,,,high,,gapfill,ext,endless; boundless; there's no end to ~
kitte no,kitte-no,〜きっての,きっての,the foremost ~; the greatest ~ in (a group),,written-modern,none,rare,N1,particle,,,high,,gapfill,ext,the most / greatest … of all
koso are,koso-are,〜こそあれ,こそあれ,though there is ~ (concession); ~ if anything (formal),,literary|written-modern,none,rare,N1,connective,,,high,,gapfill,ext,although; even though ~
koso sure,koso-sure,〜こそすれ,こそすれ,"~ if anything, but certainly not (the opposite)",,literary|written-modern,none,rare,N1,connective,,,high,,gapfill,ext,and; although; but ~
koto gotoku,kotogotoku,ことごとく,ことごとく,every single one; entirely; without exception,,written-modern|literary,none,uncommon,N1,adverbial,,,high,,gapfill,ext,altogether; entirely; completely ~
koto mo atte,koto-mo-atte,〜こともあって,こともあって,partly because ~ (one contributing reason among others),,written-modern|polite-spoken,none,uncommon,N1,connective,koto,,high,,gapfill,ext,partly because; also because of ~
koto nashi ni,koto-nashi-ni,〜ことなしに,ことなしに,"without ~ing (formal, = ことなく)",,written-modern,none,uncommon,N1,connective,koto|koto-naku,,high,,gapfill,ext,without doing something
koto no nai you ni,koto-no-nai-you-ni,〜ことのないように,ことのないように,so as not to ~; to avoid ever ~ing,,written-modern|polite-spoken,none,uncommon,N1,connective,koto|nai-form,,high,,gapfill,ext,so as not to; to not ~
kurai nara,kurai-nara,〜くらいなら,くらいなら,rather than ~ (I'd sooner do the other thing),,casual-spoken|written-modern,none,uncommon,N1,conditional,,,high,,gapfill,ext,rather than (do ...)
kurai no mono da,kurai-no-mono-da,〜くらいのものだ,くらいのものだ,~ is about the only one/extent; nothing more than ~,,casual-spoken|written-modern,none,uncommon,N1,modality,,,high,,gapfill,ext,only (emphasis)
marukkiri,marukkiri,まるっきり,まるっきり,completely; (with negative) not at all,,casual-spoken,none,uncommon,N1,adverbial,,,high,,gapfill,ext,completely; absolutely; totally; (not) at all ~
mo douzen da,mo-douzen-da,〜も同然だ,もどうぜんだ,practically ~; as good as ~,,casual-spoken|written-modern,none,uncommon,N1,modality,,,high,,gapfill,ext,just like; same as ~
mo shinai de,mo-shinai-de,〜もしないで,もしないで,without even ~ing (emphatic も),,casual-spoken|written-modern,none,uncommon,N1,connective,nai-form,,high,,gapfill,ext,without even doing ~
mohaya,mohaya,もはや,もはや,now (already); (with negative) no longer,,written-modern|polite-spoken,none,common,N1,adverbial,,,high,,gapfill,ext,already; now; no longer; not anymore
mono to omowareru,mono-to-omowareru,〜ものと思われる,ものとおもわれる,"it is presumed/believed that ~ (formal, also 〜ものと見られる)",,written-modern,none,uncommon,N1,modality,mono,,high,,gapfill,ext,it is believed/expected that ~
n ga tame ni,n-ga-tame-ni,〜んがために,んがために,"in order to ~ (classical, strong purpose)",,literary|written-modern,none,rare,N1,connective,,,high,,gapfill,ext,in order to ~
nagara ni,nagara-ni,〜ながらに,ながらに,"while remaining ~; in the state of ~ (涙ながらに, 生まれながらに; also 〜ながらの)",,written-modern|literary,none,uncommon,N1,connective,,,high,,gapfill,ext,while; during; without change; performed in this condition
nai mono demo nai,nai-mono-demo-nai,〜ないものでもない,ないものでもない,it's not entirely impossible to ~; might just ~,,written-modern|polite-spoken,none,uncommon,N1,modality,nai-form,,high,,gapfill,ext,is not entirely impossible
nai mono ka,nai-mono-ka,〜ないものか,ないものか,"isn't there some way to ~?; can't we ~? (longing wish, also 〜ないものだろうか)",,casual-spoken|written-modern,none,uncommon,N1,modality,nai-form,,high,,gapfill,ext,isn't there; can't we…?; can't I…?
nai tomo kagiranai,nai-tomo-kagiranai,〜ないとも限らない,ないともかぎらない,it's not necessarily not ~; ~ might well happen,,written-modern,none,uncommon,N1,modality,nai-form,,high,,gapfill,ext,not necessarily; I can't say that; maybe; might ~
nara iza shirazu,nara-iza-shirazu,〜ならいざ知らず,ならいざしらず,"I don't know about ~ (that might be so), but this is different (also 〜はいざ知らず)",,written-modern|literary,none,rare,N1,connective,,,high,,gapfill,ext,I don't know about ... but; it may be possible for ... but ~
nari tomo,nari-tomo,〜なりとも,なりとも,at least ~; even just (a little) ~,,literary|written-modern,none,rare,N1,particle,,,high,,gapfill,ext,at least; even just a little (adverbial particle)
ni atai suru,ni-atai-suru,〜に値する,にあたいする,to be worth ~; to deserve / merit ~,,written-modern,none,uncommon,N1,modality,,,high,,gapfill,ext,to be worth; to be worthy of; to deserve; to merit ~
ni itaru,ni-itaru,〜に至る,にいたる,to reach (the point/place of) ~; to lead to ~ (also 〜に至った),,written-modern,none,uncommon,N1,connective,,,high,,gapfill,ext,leads to; come to a conclusion
ni kakatte wa,ni-kakatte-wa,〜にかかっては,にかかっては,in the hands of ~; when ~ takes it on (the result is special; also 〜にかかったら／にかかると／にかかれば),,written-modern,none,rare,N1,connective,,,high,,gapfill,ext,"when handled by (N), becomes a completely different result"
ni kamakete,ni-kamakete,〜にかまけて,にかまけて,being preoccupied with ~ (to the neglect of other things),,written-modern,none,rare,N1,connective,,,high,,gapfill,ext,to be too busy; to focus / concentrate only on ~
ni nottotte,ni-nottotte,〜に則って,にのっとって,"in accordance with ~ (rules, law, custom)",,written-modern,none,uncommon,N1,connective,,,high,,gapfill,ext,based on; according to; in accordance with ~
ni shinobinai,ni-shinobinai,〜に忍びない,にしのびない,cannot bring oneself to ~; cannot bear to ~,,written-modern|literary,none,rare,N1,modality,,,high,,gapfill,ext,cannot bring oneself (to do); unable to bear ~
ni taeru,ni-taeru,〜に耐える,にたえる,to be worth ~ing / to withstand ~; (negative 〜に耐えない) cannot bear ~,,written-modern,none,uncommon,N1,modality,,,med,two poles on the same form: 〜に耐える 'worth/withstand' vs 〜に耐えない 'cannot bear',gapfill,ext,worth doing; can do; cannot bear doing ~
ni taranai,ni-taranai,〜に足らない,にたらない,not worth ~ing; insufficient to ~ (also 〜に足りない),,written-modern,none,uncommon,N1,modality,ni-taru,,high,,gapfill,ext,cannot; not worthy; not worth doing ~
ni terashite,ni-terashite,〜に照らして,にてらして,in light of ~; in accordance with (a standard/precedent),,written-modern,none,uncommon,N1,connective,,,high,,gapfill,ext,according to; in view of; in light of ~
ni wa muri ga aru,ni-wa-muri-ga-aru,〜には無理がある,にはむりがある,~ is unreasonable / unrealistic; there's a flaw in ~,,casual-spoken|written-modern,none,uncommon,N1,modality,,,high,,gapfill,ext,difficult to do; is unreasonable / unrealistic / impossible
nimo mashite,nimo-mashite,〜にも増して,にもまして,more than ~; above and beyond ~,,written-modern,none,uncommon,N1,connective,,,high,,gapfill,ext,more than…; above ~
ni~o kasanete,ni-o-kasanete,〜に〜を重ねて,にをかさねて,piling ~ upon ~; through repeated ~ (努力に努力を重ねて),,written-modern|literary,none,rare,N1,connective,,,low,"set frame 〜に〜を重ねて 'X upon X'; reconstructed from gloss, narrow/low-freq",gapfill,ext,"success after continuous (effort, work, adjustments, etc.)"
no yara,no-yara,〜のやら,のやら,I wonder ~ (uncertainty; also 〜ものやら／〜ことやら),,casual-spoken|written-modern,none,uncommon,N1,particle,,,high,,gapfill,ext,I wonder...; unsure; I don't know ~
no yara~no yara,no-yara-no-yara,〜のやら〜のやら,のやらのやら,whether ~ or ~ (I'm not sure which),,casual-spoken|written-modern,none,uncommon,N1,particle,no-yara,,high,,gapfill,ext,or ~ (I don't know)
omoi o suru,omoi-o-suru,〜思いをする,おもいをする,"to have a ~ experience/feeling (嫌な思いをする, 怖い思いをする)",,casual-spoken|polite-spoken|written-modern,none,common,N1,other,,,high,,gapfill,ext,to think; to feel ~
samonaito,samonaito,さもないと,さもないと,otherwise; or else; if not ~,,casual-spoken|written-modern,none,uncommon,N1,connective,,,high,,gapfill,ext,otherwise; or else; if not ~
sobireru,sobireru,〜そびれる,そびれる,to miss the chance to ~; to fail to ~ (when one meant to),,casual-spoken|written-modern,none,uncommon,N1,auxiliary,masu-stem,,high,,gapfill,ext,to miss a chance; to fail to do ~
sokonau,sokonau,〜損なう,そこなう,to fail to ~; to do ~ wrong / nearly ~ (also 〜損ねる／〜損じる),,written-modern,none,uncommon,N1,auxiliary,masu-stem,,high,,gapfill,ext,to do something wrong; by mistake; to fail to ~
sube ga nai,sube-ga-nai,〜術がない,すべがない,there's no way/means to ~,,written-modern|literary,none,uncommon,N1,modality,,,high,,gapfill,ext,there is no way / means; cannot do ~
ta hazumi ni,ta-hazumi-ni,〜た弾みに,たはずみに,"the moment ~; in the act of ~, something unintended happened (also 〜た拍子に)",,casual-spoken|written-modern,none,uncommon,N1,connective,ta-form,,high,,gapfill,ext,"the moment [A], unintentionally caused something to happen"
ta koto ni suru,ta-koto-ni-suru,〜たことにする,たことにする,to pretend that ~ happened; treat ~ as done (also 〜たことになる 'it amounts to ~'),,casual-spoken|written-modern,none,uncommon,N1,modality,ta-form|koto,,med,two patterns: 〜たことにする 'pretend/treat as done' vs 〜たことになる 'it comes to mean'; kept する,gapfill,ext,pretend to; see things as untrue; contrary to the truth ~
ta tsumori wa nai,ta-tsumori-wa-nai,〜たつもりはない,たつもりはない,didn't mean to ~; have no intention of having ~,,casual-spoken|written-modern,none,uncommon,N1,modality,ta-form|tsumori-de,,high,,gapfill,ext,have no intention to / didn't mean to ~
tada~nomi da,tada-nomi-da,ただ〜のみだ,ただのみだ,all one can do is ~; nothing but ~ (formal),,written-modern|literary,none,uncommon,N1,particle,,,high,,gapfill,ext,all we can do is; can do nothing but; only ~
tameshi ga nai,tameshi-ga-nai,〜ためしがない,ためしがない,it has never once happened that ~; ~ is never the case,,casual-spoken|written-modern,none,uncommon,N1,modality,,,high,,gapfill,ext,is never the case; has never happened ~
tara saigo,tara-saigo,〜たら最後,たらさいご,"once you ~, there's no going back (bad result follows; also 〜たが最後)",,casual-spoken|written-modern,none,uncommon,N1,conditional,ta-form,,high,,gapfill,ext,if you do... negative result
tara~tade,tara-tade,〜たら〜たで,たらたで,"even if/when ~ turns out, that brings its own issue",,casual-spoken|written-modern,none,uncommon,N1,connective,ta-form,,med,"paired 〜たら〜たで concessive 'even if it turns out ~, then ~'; colloquial",gapfill,ext,if / in the case... of course / should ~
tara~tokoro da,tara-tokoro-da,〜たら〜ところだ,たらところだ,"if ~ had happened, then ~ would have (counterfactual)",,casual-spoken|written-modern,none,uncommon,N1,conditional,ta-form|tokoro,,high,,gapfill,ext,"if... (counterfactual condition), then would be ~"
tari tomo,tari-tomo,〜たりとも,たりとも,"not even (a single) ~ (with negative, emphatic)",,written-modern|literary,none,rare,N1,particle,,,high,,gapfill,ext,not even; not any ~
te kanawanai,te-kanawanai,〜て敵わない,てかなわない,unbearably ~; can't stand ~ing,,casual-spoken|written-modern,none,uncommon,N1,modality,te-form,,high,,gapfill,ext,can't bear to; unable to; troublesome to; can't stand to ~
te shikaru beki da,te-shikaru-beki-da,〜てしかるべきだ,てしかるべきだ,it's only proper to ~; ~ ought to be done (as a matter of course),,written-modern|literary,none,rare,N1,modality,te-form,,high,,gapfill,ext,should; appropriate; it is natural to do ~
te sumu koto dewa nai,te-sumu-koto-dewa-nai,〜て済むことではない,てすむことではない,~ alone won't settle it; it's not a matter that ends with ~,,written-modern|polite-spoken,none,uncommon,N1,modality,te-form|koto,,high,,gapfill,ext,~ is not enough to solve the problem
temo dou ni mo naranai,temo-dou-ni-mo-naranai,〜てもどうにもならない,てもどうにもならない,"even if ~, nothing can be done about it",,casual-spoken|written-modern,none,uncommon,N1,modality,te-form,,high,,gapfill,ext,it's no use; can't do anything
temo shiranai,temo-shiranai,〜ても知らない,てもしらない,"if you ~, I won't be responsible (warning)",,casual-spoken,none,uncommon,N1,modality,te-form,,med,〜ても知らない warning 'do it and face the consequences'; colloquial,gapfill,ext,if (you) continue... you'll end up / I don't care
to aimatte,to-aimatte,〜と相まって,とあいまって,coupled with ~; combined with ~ (compounding effect),,written-modern|literary,none,uncommon,N1,connective,,,high,,gapfill,ext,"together with..., more; because of the influence of..., more ~"
to ienaku mo nai,to-ienaku-mo-nai,〜と言えなくもない,といえなくもない,one could even say that ~ (guarded affirmation),,written-modern|polite-spoken,none,uncommon,N1,modality,nai-form,,high,,gapfill,ext,one can even say that; it can also be said that ~
ga kikkake de,ga-kikkake-de,〜がきっかけで,がきっかけで,triggered by ~; with ~ as the start (also 〜をきっかけに),,casual-spoken|polite-spoken|written-modern,none,common,N2,connective,,,high,,gapfill,ext,with… as a start; as a result of; taking advantage of ~
ikki ni,ikki-ni,一気に,いっきに,in one go; all at once; without stopping,,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,gapfill,ext,in one go; without stopping; all at once; immediately
kuse shite,kuse-shite,〜くせして,くせして,"even though ~ (critical/blaming, = くせに)",,casual-spoken,none,common,N2,connective,,,high,,gapfill,ext,although; despite the fact that; even though ~
madashimo,madashimo,まだしも,まだしも,"~ would be one thing (acceptable), but...; rather ~",,casual-spoken|written-modern,none,uncommon,N2,connective,,,high,,gapfill,ext,rather; better
mama ni,mama-ni,〜ままに,ままに,as ~; just as (one is told / as it feels),,written-modern,none,uncommon,N2,connective,,,high,,gapfill,ext,"as, to do as ~"
mo kamawazu,mo-kamawazu,〜もかまわず,もかまわず,without caring about ~; regardless of ~,,written-modern|polite-spoken,none,common,N2,connective,,,high,,gapfill,ext,without caring; without worrying about ~
mo touzen da,mo-touzen-da,〜も当然だ,もとうぜんだ,it's only natural that ~; no wonder ~,,casual-spoken|written-modern,none,common,N2,modality,,,high,,gapfill,ext,it's only natural; no wonder; might as well ~
mou sukoshi de,mou-sukoshi-de,もう少しで,もうすこしで,almost; nearly (came close to ~ing),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,gapfill,ext,"almost; nearly, close to ~"
nakute sumu,nakute-sumu,〜なくて済む,なくてすむ,to get by without ~ing,,casual-spoken|written-modern,none,common,N2,modality,nai-form|zu-ni-sumu,,high,,gapfill,ext,get by without doing ~
ni kakawaru,ni-kakawaru,〜に関わる,にかかわる,to affect ~; to be a matter of ~ (命に関わる),,written-modern|polite-spoken,none,common,N2,connective,,,high,,gapfill,ext,to relate to; to have to do with; relating to ~
nimo kakawarazu,nimo-kakawarazu,〜にも関わらず,にもかかわらず,despite ~; nevertheless,,written-modern|polite-spoken,none,common,N2,connective,,,high,,gapfill,ext,despite; in spite of; nevertheless; although ~
to iu mono dewa nai,to-iu-mono-dewa-nai,〜というものではない,というものではない,it's not necessarily that ~; ~ isn't always the case (also 〜というものでもない),,casual-spoken|polite-spoken|written-modern,none,common,N2,modality,to-iu|to-iu-mono-da,,high,,gapfill,ext,there is no guarantee that…; not necessarily ~
wazuka ni,wazuka-ni,わずかに,わずかに,slightly; only; barely,,written-modern|polite-spoken,none,common,N2,adverbial,,,high,,gapfill,ext,slightly; only; barely; narrowly ~
yohodo,yohodo,よほど,よほど,considerably; very (much more than usual; also よっぽど),,casual-spoken|polite-spoken|written-modern,none,common,N2,adverbial,,,high,,gapfill,ext,very; greatly; much; to a large extent
you ka~mai ka,you-ka-mai-ka,〜ようか〜まいか,ようかまいか,whether to ~ or not (deliberating),,written-modern|polite-spoken,none,uncommon,N2,modality,volitional-form,,high,,gapfill,ext,whether or not; considering options
amari ni mo,amari-ni-mo,あまりにも,あまりにも,far too ~; so much that ~ (excessive),,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,gapfill,ext,too much; so much… that; excessively ~
bakari de,bakari-de,〜ばかりで,ばかりで,only ~ (and nothing else happens / improves),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,bakari,,high,,gapfill,ext,only; just ~ (negative description)
ba~noni,ba-noni,〜ば〜のに,ばのに,"if only ~ (regret/wish, counterfactual)",,casual-spoken|polite-spoken|written-modern,none,common,N3,conditional,ba-conditional|noni,,high,,gapfill,ext,would have; should have; if only ~
ichido ni,ichido-ni,一度に,いちどに,all at once; at one time,,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,gapfill,ext,all at once
kakeru,kakeru,〜かける,かける,to be half-way ~ing; to start to ~ (and not finish),,casual-spoken|polite-spoken|written-modern,none,common,N3,aspect,masu-stem,,high,,gapfill,ext,half-; not yet finished; in the middle of~
moshimo~tara,moshimo-tara,もしも〜たら,もしもたら,if (by any chance) ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,conditional,ta-form,,high,,gapfill,ext,if; in the case; supposing ~
naosu,naosu,〜直す,なおす,to re-do; to do ~ over again,,casual-spoken|polite-spoken|written-modern,none,common,N3,auxiliary,masu-stem,,high,,gapfill,ext,to do something again; to do over
nazenara,nazenara,なぜなら,なぜなら,"the reason is; because (sentence-initial, formal; often 〜から)",,polite-spoken|written-modern,none,common,N3,connective,,,high,,gapfill,ext,because; the reason is; if you want to know why
ni nareru,ni-nareru,〜に慣れる,になれる,to get used to ~; to become accustomed to ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,other,,,high,,gapfill,ext,to be used to something
no deshou ka,no-deshou-ka,〜のでしょうか,のでしょうか,"is it (that) ~? (softened, polite question)",,polite-spoken,teineigo,common,N3,modality,darou,,high,,gapfill,ext,ask a question in a polite way
seizei,seizei,せいぜい,せいぜい,at most; at best,,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,gapfill,ext,at the most; at best; to the utmost
shibaraku,shibaraku,しばらく,しばらく,for a while; for the time being,,casual-spoken|polite-spoken|written-modern,none,common,N3,adverbial,,,high,,gapfill,ext,for a moment; for a while; for the time being
sono tame ni,sono-tame-ni,そのために,そのために,for that reason; in order to do that,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,gapfill,ext,hence; for that reason; because of ~
suuryou + wa,suuryou-wa,〔数量〕は,すうりょうは,は after a quantity: at least (that much),,written-modern|polite-spoken,none,uncommon,N3,particle,,,med,structural label '数量+は': topic は on a quantity expressing 'at least'; reconstructed from gloss,gapfill,ext,at least ~
ta totan,ta-totan,〜たとたん,たとたん,the instant ~; just as ~ (and then suddenly; also 〜たとたんに),,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,ta-form,,high,,gapfill,ext,as soon as; just as ~
tatoeba,tatoeba,例えば,たとえば,for example; for instance,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,,,high,,gapfill,ext,for example; for instance ~
te bakari iru,te-bakari-iru,〜てばかりいる,てばかりいる,to do nothing but ~; to always be ~ing (critical),,casual-spoken|polite-spoken|written-modern,none,common,N3,aspect,te-form|te-iru,,high,,gapfill,ext,only; nothing but ~
te sumu,te-sumu,〜て済む,てすむ,can settle/manage by just ~ing; ~ is enough,,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,te-form,,high,,gapfill,ext,sufficient by; no problem to; resolve by ~
te wa ikenai kara,te-wa-ikenai-kara,〜てはいけないから,てはいけないから,because you must not ~ (so...); in order to avoid ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,connective,te-form,,med,"composite てはいけない + から 'because mustn't, so...'; could fold into a てはいけない node",gapfill,ext,in order to not~; to prevent a negative situation
teiru baai janai,teiru-baai-janai,〜ている場合じゃない,ているばあいじゃない,this is no time to be ~ing,,casual-spoken,none,common,N3,modality,te-iru,,high,,gapfill,ext,this is no time to be doing ~
teki,teki,〜的,てき,-ic / -al: turns a noun into a na-adjective or adverbial (科学的),,casual-spoken|polite-spoken|written-modern,none,common,N3,auxiliary,,,high,,gapfill,ext,change noun into na-adjective or adverb
temo hajimaranai,temo-hajimaranai,〜ても始まらない,てもはじまらない,it's no use ~ing; there's no point in ~,,casual-spoken|written-modern,none,common,N3,modality,te-form,,high,,gapfill,ext,even if you... it's no use; there is no point to ~
to iu koto da,to-iu-koto-da,〜ということだ,ということだ,it means that ~; I hear that ~ (conclusion or hearsay; also 〜とのことだ),,casual-spoken|polite-spoken|written-modern,none,common,N3,quotation,to-iu|to-iu-koto,,high,,gapfill,ext,I heard; it means that; in other words ~
to mieru,to-mieru,〜とみえる,とみえる,it seems that ~ (judging from evidence; also 〜とみえて),,written-modern|polite-spoken,none,common,N3,modality,,,high,,gapfill,ext,it seems that ~
toosu,toosu,〜通す,とおす,to do ~ all the way through; to keep ~ing to the end,,casual-spoken|polite-spoken|written-modern,none,common,N3,auxiliary,masu-stem,,high,,gapfill,ext,to do until the end; to continually do; through ~
tsumori datta,tsumori-datta,〜つもりだった,つもりだった,had intended to ~ (but didn't); thought I had ~,,casual-spoken|polite-spoken|written-modern,none,common,N3,modality,tsumori-de,,high,,gapfill,ext,I thought I~; was planning to~; was intending to ~
baai wa,baai-wa,〜場合は,ばあいは,in the case of ~; when ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,connective,,,high,,gapfill,ext,in the event of; in the case that ~
dewa nai ka,dewa-nai-ka,〜ではないか,ではないか,"isn't it ~?; right? (formal/written, = じゃないか)",,polite-spoken|written-modern,none,common,N4,modality,janai-ka,,med,"formal/written variant of じゃないか (janai-ka); dup-suspect with janai-ka, kept for register",gapfill,ext,right?; isn't it?
ga hitsuyou,ga-hitsuyou,〜が必要,がひつよう,~ is necessary; to need ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,,,high,,gapfill,ext,need; necessary
hitsuyou ga aru,hitsuyou-ga-aru,〜必要がある,ひつようがある,there is a need to ~; must ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,ga-hitsuyou,,high,,gapfill,ext,need to; it is necessary to
itashimasu,itashimasu,いたします,いたします,to do (humble form of する),,polite-spoken,kenjougo,common,N4,honorific,,,high,,gapfill,ext,to do (polite form of する)
kara tsukuru,kara-tsukuru,〜から作る,からつくる,made from ~ (raw material whose form changes; cf. でできる),,casual-spoken|polite-spoken|written-modern,none,common,N4,particle,,,med,"から marking raw material 'made from'; narrow pattern, partly lexical",gapfill,ext,made from; made with
ku suru,ku-suru,〜くする,くする,to make (something) ~ (adverbial form of an i-adjective + する),,casual-spoken|polite-spoken|written-modern,none,common,N4,auxiliary,,,high,,gapfill,ext,to make something ~
ni ki ga tsuku,ni-ki-ga-tsuku,〜に気がつく,にきがつく,to notice ~; to realize ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,other,,,high,,gapfill,ext,to notice; to realize
ni mieru,ni-mieru,〜に見える,にみえる,to look ~; to appear ~ (に + 見える),,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,,,high,,gapfill,ext,to look; to seem; to appear
no naka de,no-naka-de,〜の中で,のなかで,among ~; within ~ (often a superlative frame),,casual-spoken|polite-spoken|written-modern,none,common,N4,particle,,,high,,gapfill,ext,in; among ~
sakki,sakki,さっき,さっき,a little while ago; just now,,casual-spoken,none,common,N4,adverbial,,,high,,gapfill,ext,some time ago; just now
sasete kudasai,sasete-kudasai,〜させてください,させてください,please let me ~ (causative request),,casual-spoken|polite-spoken,none,common,N4,auxiliary,causative-form|te-form,,high,,gapfill,ext,please let me do
ta tokoro,ta-tokoro,〜たところ,たところ,just (finished) ~ing; had just ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,aspect,ta-form|tokoro,,high,,gapfill,ext,"just finished doing, was just doing"
tara ii desu ka,tara-ii-desu-ka,〜たらいいですか,たらいいですか,what should I ~?; how should I ~? (seeking instruction),,polite-spoken,teineigo,common,N4,modality,ta-form|to-ii,,high,,gapfill,ext,what should I do?; speaker seeking instructions
teiru tokoro,teiru-tokoro,〜ているところ,ているところ,in the middle of ~ing (right now),,casual-spoken|polite-spoken|written-modern,none,common,N4,aspect,te-iru|tokoro,,high,,gapfill,ext,in the process of doing
to ittemo ii,to-ittemo-ii,〜と言ってもいい,といってもいい,you could say that ~; one might say ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,to-iu|te-mo-ii,,high,,gapfill,ext,you could say; one might say; I'd say ~
to iwarete iru,to-iwarete-iru,〜と言われている,といわれている,it is said that ~,,written-modern|polite-spoken,none,common,N4,modality,to-iu|te-iru,,high,,gapfill,ext,it is said that ~
to kiita,to-kiita,〜と聞いた,ときいた,I heard that ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,quotation,to-quotative,,high,,gapfill,ext,I heard...
to omou,to-omou,〜と思う,とおもう,to think that ~; I think ~,,casual-spoken|polite-spoken|written-modern,none,essential,N4,quotation,to-quotative,,high,,gapfill,ext,to think…; I think…; you think…
yotei da,yotei-da,〜予定だ,よていだ,to plan to ~; to be scheduled to ~,,casual-spoken|polite-spoken|written-modern,none,common,N4,modality,,,high,,gapfill,ext,"plan to, intend to"
cha ikenai,cha-ikenai,〜ちゃいけない,ちゃいけない,must not ~ (colloquial 〜てはいけない; also 〜じゃいけない),,casual-spoken,none,common,N5,modality,te-form,,high,,gapfill,ext,must not do (spoken Japanese)
doushite,doushite,どうして,どうして,why; for what reason; how,,casual-spoken|polite-spoken|written-modern,none,common,N5,adverbial,,,high,,gapfill,ext,why; for what reason; how
douyatte,douyatte,どうやって,どうやって,how; in what way; by what means,,casual-spoken|polite-spoken|written-modern,none,common,N5,adverbial,,,high,,gapfill,ext,how; in what way; by what means
ga arimasu,ga-arimasu,〜があります,があります,there is ~; to exist (for inanimate things),,casual-spoken|polite-spoken|written-modern,none,essential,N5,other,ga-iru,,high,,gapfill,ext,there is; is (non-living things)
issho ni,issho-ni,一緒に,いっしょに,together (with),,casual-spoken|polite-spoken|written-modern,none,essential,N5,adverbial,,,high,,gapfill,ext,together
ni iku,ni-iku,〜に行く,にいく,to go (in order) to ~ (purpose of motion),,casual-spoken|polite-spoken|written-modern,none,essential,N5,connective,masu-stem,,high,,gapfill,ext,go to do ~
no ga heta,no-ga-heta,〜のが下手,のがへた,to be bad at ~ing,,casual-spoken|polite-spoken|written-modern,none,common,N5,nominalizer,,,high,,gapfill,ext,to be bad at doing something
no ga jouzu,no-ga-jouzu,〜のが上手,のがじょうず,to be good at ~ing,,casual-spoken|polite-spoken|written-modern,none,common,N5,nominalizer,no-ga-heta,,high,,gapfill,ext,to be good at
no ga suki,no-ga-suki,〜のが好き,のがすき,to like ~ing,,casual-spoken|polite-spoken|written-modern,none,essential,N5,nominalizer,,,high,,gapfill,ext,to like doing something
nara madashimo,nara-madashimo,〜ならまだしも,ならまだしも,"if it were ~ that would be one thing, but (this is worse)",,casual-spoken|written-modern,none,uncommon,N1,connective,madashimo,,high,,gapfill,ext,
o ii koto ni,o-ii-koto-ni,〜をいいことに,をいいことに,taking advantage of ~; exploiting ~ (to do something improper),,casual-spoken|written-modern,none,uncommon,N1,connective,,,high,,gapfill,ext,
ru made da,ru-made-da,〜るまでだ,るまでだ,will simply ~ (if it comes to that); that's all there is to it,,casual-spoken|written-modern,none,uncommon,N1,modality,,,high,,gapfill,ext,
o yoginaku sareru,o-yoginaku-sareru,〜を余儀なくされる,をよぎなくされる,to be forced to ~; have no choice but to ~ (against one's will),,written-modern,none,uncommon,N1,modality,,,high,,gapfill,ext,
o kawakiri ni,o-kawakiri-ni,〜を皮切りに,をかわきりに,starting with ~; with ~ as the first of a series,,written-modern,none,uncommon,N1,connective,,,high,,gapfill,ext,
